,title,season,episode,url,seid
130,The Fresh Prince of Bel-Air,06,07,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e07,s06e07
131,The Fresh Prince of Bel-Air,06,08,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e08,s06e08
132,The Fresh Prince of Bel-Air,06,09,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e09,s06e09
133,The Fresh Prince of Bel-Air,06,10,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e10,s06e10
134,The Fresh Prince of Bel-Air,06,11,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e11,s06e11
135,The Fresh Prince of Bel-Air,06,12,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e12,s06e12
136,The Fresh Prince of Bel-Air,06,13,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e13,s06e13
137,The Fresh Prince of Bel-Air,06,14,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e14,s06e14
138,The Fresh Prince of Bel-Air,06,15,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e15,s06e15
139,The Fresh Prince of Bel-Air,06,16,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e16,s06e16
140,The Fresh Prince of Bel-Air,06,17,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e17,s06e17
141,The Fresh Prince of Bel-Air,06,18,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e18,s06e18
142,The Fresh Prince of Bel-Air,06,19,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e19,s06e19
143,The Fresh Prince of Bel-Air,06,20,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e20,s06e20
144,The Fresh Prince of Bel-Air,06,21,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e21,s06e21
145,The Fresh Prince of Bel-Air,06,22,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e22,s06e22
146,The Fresh Prince of Bel-Air,06,23,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e23,s06e23
147,The Fresh Prince of Bel-Air,06,24,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e24,s06e24
148,Boy Meets World,01,01,view_episode_scripts.php?tv-show=boy-meets-world&episode=s01e01,s01e01
149,Boy Meets World,01,02,view_episode_scripts.php?tv-show=boy-meets-world&episode=s01e02,s01e02
150,Boy Meets World,01,03,view_episode_scripts.php?tv-show=boy-meets-world&episode=s01e03,s01e03
151,Boy Meets World,01,04,view_episode_scripts.php?tv-show=boy-meets-world&episode=s01e04,s01e04
152,Boy Meets World,01,05,view_episode_scripts.php?tv-show=boy-meets-world&episode=s01e05,s01e05
153,Boy Meets World,01,06,view_episode_scripts.php?tv-show=boy-meets-world&episode=s01e06,s01e06
